"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021",
"Aruba","ABW","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Africa Eastern and Southern","AFE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.1677307008155","","","","","","","","","","20.8504098619563","23.0458250120577","25.0833389723912","23.9523462892219","24.4706387126002","24.1107603485534","21.6378919315344","20.8793206054544","22.0088060202663","22.4547952118211","23.5780488233811","","",
"Afghanistan","AFG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.96753350012612","7.00919125001793","8.05270582231448","10.5750824702327","11.0919491573205","11.5101607150307","10.2006246425162","9.40560933162746","8.61373050462046","10.1311181683697","12.678009904576","13.0392622227544","","","","",
"Africa Western and Central","AFW","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.0091980140935","52.7883851391081","41.6333607635908","26.6206782539432","29.580567971466","27.3183119493528","24.425016261414","46.1028361887204","44.9866019752973","42.6676107682371","22.2507463682066","34.9944446976369","44.5922851492752","36.2254242348639","35.7058626128495","30.8845485149836","18.7766449722372","15.7207693755968","16.3605914340827","21.9878346209318","21.7916074354975","","",
"Albania","ALB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.4825458879515","14.1239147144237","16.024955632553","23.1519405063817","","","","23.9807395592749","24.2458891193942","24.5508019930699","","","","","","","23.9003193851567","23.0507101156878","22.3049495093896","24.5250980968319","24.738150200759","24.2785737521554","25.7331368559535","25.4774455912425","25.1413858798243","23.8726358602587","",
"Andorra","AND","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.0492188311682","19.7022465534134","","","","","","",
"United Arab Emirates","ARE","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6.56351712747652","6.91292989917744","6.51896326009429","","","","","","","","","","","","3.41298181688152","3.2451584853483","3.1347176299018","3.00936879152735","3.53040772564042","4.03139145441306","3.49329861535098","3.38932867499136","4.67787035019816","6.19883825484146","",
"Argentina","ARG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3875396339054","11.1620910357746","12.2806411476509","15.0995556252854","14.8638517712865","14.0262971514164","13.0408350549651","13.6002991200544","13.7561266874785","14.0111384261594","14.1776102532074","13.7775019608536","14.0561136349095","17.1997019513553","16.7347777696665","16.6216575161027","17.2017551603052","17.9300729987004","18.9717341522181","20.1360210279783","21.2413164267537","20.196408074281","21.182234604867","21.5652829643596","22.3322943705014","22.1490803040164","21.2567013071388","19.3371239744582","17.7024483876111","18.5267736751921","17.305943162042","",
"Armenia","ARM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.1983826790851","19.3048587396415","19.7633111464399","21.3849781783405","22.8602935610245","22.2532496488502","22.6479513525881","22.7264264431653","22.597804052938","24.1168167453311","24.5145567085198","23.0924926716717","22.8347288893173","22.5254651052115","22.4536343721739","23.9412409977605","24.1456638609998","",
"American Samoa","ASM","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua and Barbuda","ATG","Revenue, excluding grants (% of GDP)","GC.REV.XGRT.GD.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
